
ligne,position,substring,pattern,valeur,chiffres,sum
tmmnhlxzpj1eightldxhjnone97,10,1eightldxhjnone97,1,1,1,0
tmmnhlxzpj1eightldxhjnone97,11,eightldxhjnone97,eight,8,1 8,0
tmmnhlxzpj1eightldxhjnone97,22,one97,one,1,1 8 1,0
tmmnhlxzpj1eightldxhjnone97,25,97,9,9,1 8 1 9,0
tmmnhlxzpj1eightldxhjnone97,26,7,7,7,1 8 1 9 7,0
9fivekfpl855mjmfdqzvbn,0,9fivekfpl855mjmfdqzvbn,9,9,9,17
9fivekfpl855mjmfdqzvbn,1,fivekfpl855mjmfdqzvbn,five,5,9 5,17
9fivekfpl855mjmfdqzvbn,9,855mjmfdqzvbn,8,8,9 5 8,17
9fivekfpl855mjmfdqzvbn,10,55mjmfdqzvbn,5,5,9 5 8 5,17
9fivekfpl855mjmfdqzvbn,11,5mjmfdqzvbn,5,5,9 5 8 5 5,17
two29eighteight1,0,two29eighteight1,two,2,2,112
two29eighteight1,3,29eighteight1,2,2,2 2,112
two29eighteight1,4,9eighteight1,9,9,2 2 9,112
two29eighteight1,5,eighteight1,eight,8,2 2 9 8,112
two29eighteight1,10,eight1,eight,8,2 2 9 8 8,112
two29eighteight1,15,1,1,1,2 2 9 8 8 1,112
4md,0,4md,4,4,4,133
sixbrqklb347,0,sixbrqklb347,six,6,6,177
sixbrqklb347,9,347,3,3,6 3,177
sixbrqklb347,10,47,4,4,6 3 4,177
sixbrqklb347,11,7,7,7,6 3 4 7,177
6sevenninexpnbgbr11three15,0,6sevenninexpnbgbr11three15,6,6,6,244
6sevenninexpnbgbr11three15,1,sevenninexpnbgbr11three15,seven,7,6 7,244
6sevenninexpnbgbr11three15,6,ninexpnbgbr11three15,nine,9,6 7 9,244
6sevenninexpnbgbr11three15,17,11three15,1,1,6 7 9 1,244
6sevenninexpnbgbr11three15,18,1three15,1,1,6 7 9 1 1,244
6sevenninexpnbgbr11three15,19,three15,three,3,6 7 9 1 1 3,244
6sevenninexpnbgbr11three15,24,15,1,1,6 7 9 1 1 3 1,244
6sevenninexpnbgbr11three15,25,5,5,5,6 7 9 1 1 3 1 5,244
4zggkljkcqthree7,0,4zggkljkcqthree7,4,4,4,309
4zggkljkcqthree7,10,three7,three,3,4 3,309
4zggkljkcqthree7,15,7,7,7,4 3 7,309
7lxjkqhmxcxsevennhszsbxzdfsonehnsrcfour9,0,7lxjkqhmxcxsevennhszsbxzdfsonehnsrcfour9,7,7,7,356
7lxjkqhmxcxsevennhszsbxzdfsonehnsrcfour9,11,sevennhszsbxzdfsonehnsrcfour9,seven,7,7 7,356
